ID_ALIAS,ID_LOCALIZACION_COMPRA,ID_AJENO,STOCK_MINIMO,STOCK_MAXIMO,STOCK_RECUENTOS,STOCK_TEORICO,FECHA_HORA_EJECUCION_STOCK_RECUENTOS,FECHA_HORA_EJECUCION_STOCK_TEORICO,FECHA_ALTA,USUARIO_ALTA,FECHA_MODIFICACION,USUARIO_MODIFICACION,FECHA_BAJA,USUARIO_BAJA,FECHA_HORA_ACTUALIZACION_STOCK_TEORICO,CAPACIDAD_MAXIMA,ID_ALIAS_ANALYTICS,STOCK_RECUENTOS_VALIDADO_BULTOS,STOCK_MINIMO_BULTOS,CAPACIDAD_MAXIMA_VALIDADA_BULTOS,RN,año_mes,necesita_reposicion,cantidad_a_reponer,log_cantidad_a_reponer
227,13866,,,100,0.0,188,2025-06-02 10:15:23.463,2025-06-20 09:15:20.300,2024-07-30 12:00:28.212,RAM,2025-06-09 13:13:23.674,BATCH_RAM,,,2025-03-21 00:00:00.000,60.0,,2,,4),(227,2025-06,1,48.0,3.8918202981106265
228,16446,,,100,600.0,1740,2025-06-03 15:58:22.905,2025-06-20 09:15:20.300,2024-07-30 12:00:28.212,RAM,2025-06-09 13:13:23.674,BATCH_RAM,,,2025-03-21 00:00:00.000,600.0,,,,NULL),(228,2025-06,0,0.0,0.0
228,11920,,,100,0.0,291,2025-06-03 14:43:59.350,2025-06-20 09:15:20.300,2024-07-30 12:00:28.212,RAM,2025-06-09 13:13:23.674,BATCH_RAM,,,2025-03-21 00:00:00.000,600.0,,0,,2),(228,2025-06,1,480.0,6.175867270105761
228,13666,,,100,600.0,350,2025-06-03 12:10:42.990,2025-06-20 09:15:20.300,2024-07-30 12:00:28.212,RAM,2025-06-09 13:13:23.674,BATCH_RAM,,,2025-03-21 00:00:00.000,600.0,,1,,2),(228,2025-06,0,0.0,0.0
228,7543,,,100,600.0,384,2024-11-13 11:36:12.162,2025-06-20 09:15:20.300,2024-07-30 12:00:28.212,RAM,2025-01-17 12:56:09.305,BATCH_RAM,,,2025-03-21 00:00:00.000,600.0,,2,,2),(207,2024-11,0,0.0,0.0
229,16742,,,100,1800.0,1107,2025-03-27 10:45:39.061,2025-06-05 09:15:17.745,2024-07-30 12:00:28.212,RAM,2025-03-28 14:08:20.941,BATCH_RAM,,,2025-05-26 00:00:00.000,6000.0,,6,,20),(229,2025-03,0,3000.0,8.006700845440367
229,7419,,,100,900.0,453,2024-11-13 17:02:52.796,2025-06-20 09:15:20.300,2024-07-30 12:00:28.212,RAM,2025-01-17 12:54:10.430,BATCH_RAM,,,2025-03-21 00:00:00.000,900.0,,3,,3),(229,2024-11,0,0.0,0.0
229,11930,,,100,300.0,528,2025-06-03 13:24:09.400,2025-06-20 09:15:20.300,2024-07-30 12:00:28.212,RAM,2025-06-09 13:13:23.674,BATCH_RAM,,,2025-03-21 00:00:00.000,900.0,,1,,3),(229,2025-06,0,420.0,6.042632833682381
229,2875,,,100,1500.0,1805,2025-06-02 10:52:50.974,2025-06-20 09:15:20.300,2024-07-30 12:00:28.212,RAM,2025-06-09 13:13:23.674,BATCH_RAM,,,2025-03-21 00:00:00.000,1200.0,,3,,4),(229,2025-06,0,0.0,0.0
209,16765,,,100,1.0,0,2024-11-14 13:58:06.049,2025-06-20 09:15:20.300,2024-07-30 12:00:28.212,RAM,2025-04-14 11:34:39.204,BATCH_RAM,,,2025-03-21 00:00:00.000,1.0,,,,NULL),(230,2024-11,0,0.0,0.0
229,13915,,,100,600.0,694,2025-06-03 15:59:56.624,2025-06-20 09:15:20.300,2024-07-30 12:00:28.212,RAM,2025-06-09 13:13:23.674,BATCH_RAM,,,2025-03-21 00:00:00.000,900.0,,0,,3),(229,2025-06,0,120.0,4.795790545596741
230,7537,,,100,2100.0,1797,2024-11-12 16:58:05.667,2025-06-20 09:15:20.300,2024-07-30 12:00:28.212,RAM,2025-06-09 13:13:23.674,BATCH_RAM,,,2025-03-21 00:00:00.000,900.0,,7,,3),(230,2024-11,0,0.0,0.0
230,10316,,,100,600.0,885,2024-11-11 15:01:48.179,2025-06-20 09:15:20.300,2024-07-30 12:00:28.212,RAM,2025-06-09 13:13:23.674,BATCH_RAM,,,2025-03-21 00:00:00.000,900.0,,2,,3),(230,2024-11,0,120.0,4.795790545596741
230,12453,,,100,1200.0,3155,2025-06-02 15:33:57.488,2025-06-20 09:15:20.300,2024-07-30 12:00:28.212,RAM,2025-06-09 13:13:23.674,BATCH_RAM,,,2025-03-21 00:00:00.000,1500.0,,6,,5),(230,2025-06,0,0.0,0.0
230,11562,,,100,1800.0,1162,2024-11-13 19:45:28.397,2025-06-20 09:15:20.300,2024-07-30 12:00:28.212,RAM,2025-01-17 13:34:50.912,BATCH_RAM,,,2025-03-21 00:00:00.000,1800.0,,6,,6),(230,2024-11,0,0.0,0.0
231,2908,,,100,2500.0,6103,2025-06-03 13:45:28.636,2025-06-20 09:15:20.300,2024-07-30 12:00:28.212,RAM,2025-06-09 13:13:23.674,BATCH_RAM,,,2025-04-02 00:00:00.000,6250.0,,,,25),(231,2025-06,0,2500.0,7.824445930877619
231,7543,,,100,1250.0,1275,2024-11-13 11:36:12.160,2025-02-17 01:46:19.691,2024-07-30 12:00:28.212,RAM,2025-01-17 12:56:09.995,BATCH_RAM,,,2025-02-10 00:00:00.000,1250.0,,5,,5),(231,2024-11,0,0.0,0.0
231,16142,,,100,1750.0,754,2025-06-02 16:57:59.113,2025-06-20 09:15:20.300,2024-07-30 12:00:28.212,RAM,2025-06-09 13:13:23.674,BATCH_RAM,,,2025-04-02 00:00:00.000,1000.0,,4,,4),(231,2025-06,0,0.0,0.0
