ID_ALIAS,ID_LOCALIZACION_COMPRA,ID_AJENO,FECHA_ALTA,USUARIO_ALTA,FECHA_MODIFICACION,USUARIO_MODIFICACION,FECHA_BAJA,USUARIO_BAJA,ID_ALIAS_ANALYTICS,RN,año_mes,semana_del_año,dia_del_año,es_fin_semana,mes_sen,mes_cos,dia_semana_sen,dia_semana_cos,es_temporada_alta,dato_muy_reciente,dato_reciente,dato_medio,dato_antiguo,antiguedad_normalizada,alias_frecuencia,alias_pct_fin_semana,alias_pct_temporada_alta,alias_coef_variacion,alias_popularidad,loc_diversidad_alias,loc_num_registros,loc_tamaño,loc_diversidad,es_alias_popular_loc_grande,es_alias_popular_loc_pequeña,alias_frecuencia_log,alias_coef_variacion_sqrt,alias_popularidad_Alta,alias_popularidad_Baja,alias_popularidad_Media,loc_tamaño_Grande,loc_tamaño_Mediana,loc_tamaño_Pequeña,dato_muy_reciente_win,necesita_reposicion,cantidad_a_reponer,log_cantidad_a_reponer
227,12963,,2024-07-30 12:00:28.212,RAM,2025-06-09 13:13:23.674,BATCH_RAM,2024-10-29 17:56:26.371,annarcay,,(227,2025-06,23,154,0,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,0,0,0,1,0,0.014218009478672985,52,0.058,0.365,0.9088862136614945,Alta,2,2,Pequeña,Media,0,1,3.970291913552122,0.9533552400136553,1,0,0,0,0,1,0,0,0.0,0.0
227,13866,,2024-07-30 12:00:28.212,RAM,2025-06-09 13:13:23.674,BATCH_RAM,2024-10-29 17:56:26.371,annarcay,,(227,2025-06,23,153,0,1.2246467991473532e-16,-1.0,0.0,1.0,0,0,0,1,0,0.017377567140600316,52,0.058,0.365,0.9088862136614945,Alta,2,2,Pequeña,Media,0,1,3.970291913552122,0.9533552400136553,1,0,0,0,0,1,0,1,48.0,3.8918202981106265
228,16446,,2024-07-30 12:00:28.212,RAM,2025-06-09 13:13:23.674,BATCH_RAM,2024-10-29 17:56:26.371,annarcay,,(228,2025-06,23,154,0,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,0,0,0,1,0,0.014218009478672985,51,0.059,0.275,5.426254107340817,Alta,1,1,Pequeña,Baja,0,1,3.9512437185814275,2.329432142677871,1,0,0,0,0,1,0,0,0.0,0.0
228,11920,,2024-07-30 12:00:28.212,RAM,2025-06-09 13:13:23.674,BATCH_RAM,2024-10-29 17:56:26.371,annarcay,,(228,2025-06,23,154,0,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,0,0,0,1,0,0.014218009478672985,51,0.059,0.275,5.426254107340817,Alta,1,1,Pequeña,Baja,0,1,3.9512437185814275,2.329432142677871,1,0,0,0,0,1,0,1,480.0,6.175867270105761
228,13666,,2024-07-30 12:00:28.212,RAM,2025-06-09 13:13:23.674,BATCH_RAM,2024-10-29 17:56:26.371,annarcay,,(228,2025-06,23,154,0,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,0,0,0,1,0,0.014218009478672985,51,0.059,0.275,5.426254107340817,Alta,1,1,Pequeña,Baja,0,1,3.9512437185814275,2.329432142677871,1,0,0,0,0,1,0,0,0.0,0.0
228,7543,,2024-07-30 12:00:28.212,RAM,2025-01-17 12:56:09.305,BATCH_RAM,2024-10-29 17:56:26.371,annarcay,,(207,2024-11,46,318,0,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434,1,0,0,0,1,0.3333333333333333,51,0.059,0.275,5.426254107340817,Alta,2,2,Mediana,Media,0,0,3.9512437185814275,2.329432142677871,1,0,0,0,1,0,0,0,0.0,0.0
229,16742,,2024-07-30 12:00:28.212,RAM,2025-03-28 14:08:20.941,BATCH_RAM,2024-10-29 17:56:26.371,annarcay,,(229,2025-03,13,86,0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0,0,0,0,1,0.12322274881516587,51,0.059,0.333,0.7398053321687026,Alta,2,2,Grande,Media,1,0,3.9512437185814275,0.8601193708833109,1,0,0,1,0,0,0,0,3000.0,8.006700845440367
229,7419,,2024-07-30 12:00:28.212,RAM,2025-01-17 12:54:10.430,BATCH_RAM,2024-10-29 17:56:26.371,annarcay,,(229,2024-11,46,318,0,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434,1,0,0,0,1,0.3333333333333333,51,0.059,0.333,0.7398053321687026,Alta,2,2,Grande,Media,1,0,3.9512437185814275,0.8601193708833109,1,0,0,1,0,0,0,0,0.0,0.0
229,11930,,2024-07-30 12:00:28.212,RAM,2025-06-09 13:13:23.674,BATCH_RAM,2024-10-29 17:56:26.371,annarcay,,(229,2025-06,23,154,0,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,0,0,0,1,0,0.014218009478672985,51,0.059,0.333,0.7398053321687026,Alta,2,2,Mediana,Media,0,0,3.9512437185814275,0.8601193708833109,1,0,0,0,1,0,0,0,420.0,6.042632833682381
229,2875,,2024-07-30 12:00:28.212,RAM,2025-06-09 13:13:23.674,BATCH_RAM,2024-10-29 17:56:26.371,annarcay,,(229,2025-06,23,153,0,1.2246467991473532e-16,-1.0,0.0,1.0,0,0,0,1,0,0.017377567140600316,51,0.059,0.333,0.7398053321687026,Alta,3,3,Mediana,Alta,0,0,3.9512437185814275,0.8601193708833109,1,0,0,0,1,0,0,0,0.0,0.0
