ID_LOCALIZACION_COMPRA,accuracy,count,real_restock_rate,pred_restock_rate,avg_quantity_error,total_real_quantity,total_pred_quantity
2332,1.0,1,0.0,0.0,0.0,0.0,0.0
2343,1.0,1,0.0,0.0,0.0,0.0,0.0
2350,1.0,1,0.0,0.0,0.0,0.0,0.0
2377,1.0,1,1.0,1.0,41.008,16.0,57.008
2394,1.0,1,0.0,0.0,0.0,0.0,0.0
2400,1.0,1,0.0,0.0,0.0,0.0,0.0
2407,1.0,1,0.0,0.0,0.0,0.0,0.0
2411,0.0,2,1.0,0.0,1210.0,2420.0,0.0
2418,1.0,1,0.0,0.0,0.0,0.0,0.0
2425,1.0,2,0.0,0.0,0.0,0.0,0.0
2439,1.0,1,0.0,0.0,0.0,0.0,0.0
2440,1.0,2,0.0,0.0,0.0,0.0,0.0
2450,1.0,1,0.0,0.0,0.0,0.0,0.0
2456,1.0,1,0.0,0.0,0.0,0.0,0.0
2472,1.0,4,0.25,0.25,9.53,24.0,62.12
2473,1.0,1,0.0,0.0,0.0,0.0,0.0
2483,0.667,3,0.0,0.333,136.547,0.0,409.642
2484,1.0,1,0.0,0.0,0.0,0.0,0.0
2486,1.0,1,0.0,0.0,0.0,0.0,0.0
2497,1.0,1,0.0,0.0,0.0,0.0,0.0
2517,1.0,1,0.0,0.0,0.0,0.0,0.0
2529,0.0,2,0.0,1.0,358.33,0.0,716.66
2552,0.5,2,0.0,0.5,1722.033,0.0,3444.065
2562,1.0,2,0.0,0.0,0.0,0.0,0.0
2583,1.0,2,0.5,0.5,491.058,2400.0,3382.117
2595,0.0,1,0.0,1.0,156.875,0.0,156.875
2599,1.0,1,0.0,0.0,0.0,0.0,0.0
2608,1.0,1,1.0,1.0,35.029,480.0,444.971
2618,1.0,1,0.0,0.0,0.0,0.0,0.0
2619,1.0,1,1.0,1.0,1386.114,3800.0,5186.114
2624,1.0,1,0.0,0.0,0.0,0.0,0.0
2628,1.0,1,0.0,0.0,0.0,0.0,0.0
2634,0.0,1,0.0,1.0,3119.733,0.0,3119.733
2639,0.0,1,1.0,0.0,1050.0,1050.0,0.0
2646,1.0,1,1.0,1.0,190.046,300.0,109.954
2651,0.0,1,0.0,1.0,436.29,0.0,436.29
2663,0.5,2,0.0,0.5,64.442,0.0,128.885
2664,1.0,1,0.0,0.0,0.0,0.0,0.0
2670,1.0,1,0.0,0.0,0.0,0.0,0.0
2673,1.0,1,0.0,0.0,0.0,0.0,0.0
2688,1.0,2,0.5,0.5,16.101,480.0,512.201
2693,0.0,1,0.0,1.0,996.773,0.0,996.773
2699,0.0,1,1.0,0.0,240.0,240.0,0.0
2711,1.0,1,0.0,0.0,0.0,0.0,0.0
2715,0.0,1,0.0,1.0,3940.696,0.0,3940.696
2728,1.0,1,0.0,0.0,0.0,0.0,0.0
2734,1.0,1,0.0,0.0,0.0,0.0,0.0
2744,1.0,1,0.0,0.0,0.0,0.0,0.0
2757,1.0,1,0.0,0.0,0.0,0.0,0.0
2758,1.0,1,1.0,1.0,54.871,36.0,90.871
2759,0.0,1,0.0,1.0,1001.387,0.0,1001.387
2760,1.0,1,0.0,0.0,0.0,0.0,0.0
2770,1.0,2,0.5,0.5,19.989,120.0,159.977
2785,1.0,1,1.0,1.0,66.253,240.0,306.253
2794,1.0,1,0.0,0.0,0.0,0.0,0.0
2796,0.0,1,1.0,0.0,720.0,720.0,0.0
2806,0.0,1,0.0,1.0,294.101,0.0,294.101
2823,1.0,1,0.0,0.0,0.0,0.0,0.0
2828,0.0,1,0.0,1.0,259.153,0.0,259.153
2832,1.0,1,0.0,0.0,0.0,0.0,0.0
2840,0.0,2,0.0,1.0,433.479,0.0,866.958
2842,1.0,2,0.5,0.5,232.632,240.0,705.263
2852,1.0,1,0.0,0.0,0.0,0.0,0.0
2863,1.0,1,1.0,1.0,1386.114,3800.0,5186.114
2875,1.0,1,0.0,0.0,0.0,0.0,0.0
2885,1.0,1,0.0,0.0,0.0,0.0,0.0
2892,0.0,1,0.0,1.0,5788.469,0.0,5788.469
2906,1.0,1,0.0,0.0,0.0,0.0,0.0
2907,0.0,1,0.0,1.0,154.851,0.0,154.851
2908,1.0,1,0.0,0.0,0.0,0.0,0.0
2909,0.0,1,0.0,1.0,302.488,0.0,302.488
2928,1.0,1,0.0,0.0,0.0,0.0,0.0
2932,1.0,1,0.0,0.0,0.0,0.0,0.0
2933,1.0,2,0.0,0.0,0.0,0.0,0.0
2935,1.0,2,0.0,0.0,0.0,0.0,0.0
2939,0.0,1,0.0,1.0,683.432,0.0,683.432
2940,1.0,2,1.0,1.0,93.484,60.0,246.967
2945,0.0,1,0.0,1.0,5788.469,0.0,5788.469
2963,1.0,1,0.0,0.0,0.0,0.0,0.0
2965,0.5,2,1.0,0.5,710.29,1570.0,330.581
2977,0.0,1,0.0,1.0,403.36,0.0,403.36
2979,1.0,1,0.0,0.0,0.0,0.0,0.0
2980,0.0,1,0.0,1.0,460.576,0.0,460.576
2984,1.0,1,0.0,0.0,0.0,0.0,0.0
2987,0.0,1,0.0,1.0,59.296,0.0,59.296
2989,1.0,1,0.0,0.0,0.0,0.0,0.0
2994,0.5,2,0.0,0.5,2466.796,0.0,4933.591
3024,1.0,1,0.0,0.0,0.0,0.0,0.0
3028,1.0,1,0.0,0.0,0.0,0.0,0.0
3029,0.0,1,0.0,1.0,261.643,0.0,261.643
3032,0.0,1,1.0,0.0,10000.0,10000.0,0.0
