ID_LOCALIZACION,Exactitud,Tasa_Real_Reposición,Tasa_Pred_Reposición,Error_Medio_Cantidad
2785,1.0,1.0,1.0,45.42503356933594
2794,1.0,0.0,0.0,0.0
2805,0.5,1.0,0.5,803.5573120117188
2806,1.0,0.0,0.0,210.0
2823,1.0,0.0,0.0,0.0
2825,1.0,1.0,1.0,95.16452026367188
2832,0.0,0.0,1.0,260.65185546875
2840,0.0,0.0,1.0,293.0693054199219
2841,1.0,0.0,0.0,840.0
2842,0.0,1.0,0.0,240.0
2848,0.5,0.0,0.5,169.5878143310547
2852,1.0,0.0,0.0,4200.0
2857,1.0,0.0,0.0,180.0
2859,1.0,0.0,0.0,510.0
2875,0.0,0.0,1.0,179.17323303222656
2882,0.0,0.0,1.0,75.49179077148438
2892,0.0,0.0,1.0,970.6885986328125
2908,1.0,0.0,0.0,2500.0
2909,1.0,0.5,0.5,72.93299865722656
2928,1.0,0.0,0.0,0.0
2935,1.0,0.0,0.0,0.0
2939,1.0,0.0,0.0,180.0
2954,0.0,1.0,0.0,2800.0
2955,1.0,1.0,1.0,853.1357421875
2956,0.0,0.0,1.0,180.98387145996094
2963,0.0,0.0,1.0,522.2454833984375
2965,0.0,1.0,0.0,240.0
2978,0.0,0.0,1.0,55.44805908203125
2980,0.0,0.0,1.0,271.1282958984375
2984,1.0,0.0,0.0,0.0
2987,0.0,0.0,1.0,75.29923248291016
2989,1.0,0.0,0.0,175.0
2994,1.0,0.0,0.0,9.0
3003,1.0,0.0,0.0,33000.0
3019,0.5,0.0,0.5,675.4409675598145
3029,0.5,0.0,0.5,9.255386352539062
3032,1.0,0.0,0.0,0.0
3047,0.5,0.5,0.0,1950.0
3061,0.0,0.0,1.0,1286.8504028320312
3071,0.0,0.0,1.0,1458.0872802734375
3077,0.5,1.0,0.5,650.6640396118164
3085,0.5,0.5,0.0,220.0
3125,1.0,0.0,0.0,0.0
3126,0.3333333333333333,0.3333333333333333,1.0,253.2840779622396
3137,1.0,0.0,0.0,0.0
3167,0.0,0.0,1.0,1182.330810546875
3173,1.0,1.0,1.0,43.6527099609375
3179,1.0,0.0,0.0,0.0
3183,0.0,0.0,1.0,306.60198974609375
3189,0.0,0.0,1.0,148.2150115966797
3195,0.0,0.0,1.0,658.4024047851562
3198,0.5,0.0,0.5,225.348876953125
3210,1.0,0.0,0.0,2100.0
3211,0.0,0.0,1.0,68.45564270019531
3219,0.0,0.0,1.0,241.845947265625
3226,0.0,1.0,0.0,2600.0
3229,0.0,1.0,0.0,2400.0
3230,1.0,1.0,1.0,769.1477966308594
3231,1.0,0.0,0.0,4500.0
3253,0.0,0.0,1.0,99.02760314941406
3254,1.0,0.0,0.0,400.0
3256,0.0,0.0,1.0,45.1658935546875
3259,1.0,0.0,0.0,0.0
3269,1.0,0.5,0.5,546.8535842895508
3273,1.0,0.0,0.0,800.0
3275,0.0,0.0,1.0,387.4434814453125
3279,0.0,0.0,1.0,446.0987243652344
3297,0.0,0.0,1.0,291.6474609375
3299,0.0,0.0,1.0,1121.28369140625
3309,1.0,1.0,1.0,1370.4978637695312
3311,0.0,0.0,1.0,422.7297592163086
3314,1.0,0.0,0.0,0.0
3316,1.0,0.0,0.0,72.0
3335,1.0,0.0,0.0,0.0
3337,0.0,0.0,1.0,15.172164916992188
3352,1.0,0.0,0.0,0.0
3356,0.5,0.5,1.0,550.6255264282227
3367,1.0,0.5,0.5,49.64113235473633
3373,1.0,0.0,0.0,0.0
3402,0.0,0.0,1.0,1020.0609130859375
3404,1.0,1.0,1.0,423.3883361816406
3406,1.0,0.5,0.5,70.66534423828125
3413,1.0,0.0,0.0,0.0
3418,0.0,0.0,1.0,57.66138458251953
3421,1.0,0.0,0.0,0.0
3425,1.0,1.0,1.0,256.69454193115234
3430,0.0,0.0,1.0,183.89993286132812
3433,1.0,0.0,0.0,1150.0
3435,1.0,0.5,0.5,103.44851493835449
3436,0.0,1.0,0.0,4000.0
3437,0.0,0.0,1.0,341.316162109375
3474,1.0,0.5,0.5,58.29804992675781
3478,1.0,1.0,1.0,80.22335815429688
3482,1.0,0.0,0.0,0.0
3497,1.0,0.0,0.0,0.0
3499,1.0,1.0,1.0,115.42202758789062
3500,1.0,1.0,1.0,2048.1486206054688
3504,0.0,1.0,0.0,1600.0
3512,1.0,0.0,0.0,640.0
3513,0.0,0.0,1.0,557.8275146484375
3514,1.0,0.0,0.0,20.0
3530,1.0,0.0,0.0,0.0
3533,0.6666666666666666,0.0,0.3333333333333333,278.9268086751302
3534,0.0,0.0,1.0,635.853515625
3547,1.0,0.0,0.0,0.0
